,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.077,8/1/2017,,0.077,PCQ
1,,,6/1/2017,6/8/2017,0.077,7/3/2017,,0.077,PCQ
2,,,5/1/2017,5/9/2017,0.077,6/1/2017,,0.077,PCQ
3,,,4/3/2017,4/11/2017,0.077,5/1/2017,,0.077,PCQ
4,,,3/1/2017,3/9/2017,0.077,4/3/2017,,0.077,PCQ
5,,,2/1/2017,2/9/2017,0.077,3/1/2017,,0.077,PCQ
6,,,1/3/2017,1/11/2017,0.077,2/1/2017,,0.077,PCQ
7,,,12/1/2016,12/8/2016,0.077,1/3/2017,,0.077,PCQ
8,,,11/1/2016,11/9/2016,0.077,12/1/2016,,0.077,PCQ
9,,,10/3/2016,10/11/2016,0.077,11/1/2016,,0.077,PCQ
10,,,9/1/2016,9/8/2016,0.077,10/3/2016,,0.077,PCQ
11,,,8/1/2016,8/9/2016,0.077,9/1/2016,,0.077,PCQ
