,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/12/2017,8/21/2017,0.1534,9/1/2017,,0.1534,BGH
1,,,5/11/2017,5/18/2017,0.1534,6/1/2017,,0.1534,BGH
2,,,5/11/2017,6/20/2017,0.1534,7/3/2017,,0.1534,BGH
3,,,5/11/2017,7/19/2017,0.1534,8/1/2017,,0.1534,BGH
4,,,4/7/2017,4/18/2017,0.1534,5/1/2017,,0.1534,BGH
5,,,1/11/2017,1/19/2017,0.1534,2/1/2017,,0.1534,BGH
6,,,1/11/2017,2/15/2017,0.1534,3/1/2017,,0.1534,BGH
7,,,1/11/2017,3/21/2017,0.1534,4/3/2017,,0.1534,BGH
8,,,10/12/2016,10/19/2016,0.1534,11/1/2016,,0.1534,BGH
9,,,10/12/2016,11/17/2016,0.1534,12/1/2016,,0.1534,BGH
10,,,10/12/2016,12/19/2016,0.1534,1/3/2017,,0.1534,BGH
11,,,9/6/2016,9/20/2016,0.1534,10/3/2016,,0.1534,BGH
12,,,8/8/2016,8/19/2016,0.1534,9/1/2016,,0.1534,BGH
13,,,7/7/2016,7/19/2016,0.1534,8/1/2016,,0.1534,BGH
